id,image,name,username,url,bio
764084402385190912,http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png,Melissa Jones,mjones34736330,,
755087040149159936,http://pbs.twimg.com/profile_images/755251292692328448/W_Wz_5Be_normal.jpg,India Kushner,indiarkushner,,"Poet, writer + editor at @RoseWaterMag, communications + social for @ONA"
750919846330793984,http://pbs.twimg.com/profile_images/750923750393073664/OmqpgBr__normal.jpg,YooHee Hong,YooHeeHong0916,,
745629761175687168,http://pbs.twimg.com/profile_images/772243153193672708/tmYyhdsC_normal.jpg,Veronica Zaretski,verozaretski,https://t.co/KXWcmNEYFV,Editor/ writer/ digital media producer. Culture geek with an allergy to BS. Recently back on Twitter. Works at the University of Toronto. Opinions my own.
720383228087898112,http://pbs.twimg.com/profile_images/720383391581863936/bF1ikpfD_normal.jpg,September Bottoms,septemberdawnbo,https://t.co/MUGdcqEoP5,"Fresh to journalism and determined as hell. photographer, videographer and writer. Well rounded. Curious. Competitive."
717398623475134464,http://pbs.twimg.com/profile_images/717780995546681344/W_agTvRv_normal.jpg,Daniel Pimentel,pimentelgators,https://t.co/OmwnpvqCFT,"PhD student at the University of Florida. Interested in VR & other computer-mediated communication. Survival Kit: coffee, Nobuo Uematsu, & blank pages."
708785279805497344,http://pbs.twimg.com/profile_images/715581780695392260/1ZRaNG8J_normal.jpg,Jeff Nelson,jeff4code,https://t.co/oZe5JF5xvk,"Coder + Tech Entrepreneur. Eliminating complexity @Cinchapi and @Blavity.

Follow me at https://t.co/AKpkR8vaQi"
707319950436741120,http://pbs.twimg.com/profile_images/709436569774469120/gz3Bkyve_normal.jpg,Lynn Soltis,Civil_Lynn,,"I scream for ice cream, smart marketing, working parents, Pittsburgh & Portland."
706558087616970753,http://pbs.twimg.com/profile_images/706580571162595328/KJ6UItZj_normal.jpg,Kelsey Arendt,KelseyLArendt,,"News junkie & data nerd @parsely. Formerly @guardian. Homebrewer, musician, fluent in midwestern nice."
4923452545,http://pbs.twimg.com/profile_images/700140509277204480/kJX1Czst_normal.jpg,Jeremy Cluff,Jeremy_Cluff,https://t.co/RoF7x4N6yu,Sports producer and Heat Index writer at The Arizona Republic and @azcsports.
4851168327,http://pbs.twimg.com/profile_images/692102730379194368/GQQBW4_r_normal.jpg,Bridget Johnson,BNJJohnson26,,"comms professional, enthusiastic declutter-er, cat parent, former upper midwesterner"
4846707314,http://pbs.twimg.com/profile_images/776905275953385472/5otrmzdi_normal.jpg,Megan Hulse,meganbhulse1,,
4724302242,http://pbs.twimg.com/profile_images/729734560213172224/bLwlW8hv_normal.jpg,Jon Brooks,jbrooksfoy,https://t.co/B4JcGnZiHN,"Editor, KQED Future of You"
4665328634,http://pbs.twimg.com/profile_images/681336229984518144/bY05pg5j_normal.jpg,Qiqi（Vivian）Zhang,vivianqiqi621,,Reporter. Digital Storyteller.  Photography Enthusiast. Insta@vivianzqq
4200631335,http://pbs.twimg.com/profile_images/666196797023526912/nHqAvtML_normal.jpg,Katy Camp,NewsCamp9,https://t.co/b7OR86HrJv,"Digital Content Manager, https://t.co/b7OR86HrJv"
4103816720,http://pbs.twimg.com/profile_images/680798972722597888/hTLK-NyL_normal.jpg,Wen-Yee Lee 李玟儀,Wenyee_Lee,,MSJ 2017 @MedillSchool | Storyteller | International Journalist | Traveler | Taiwanese | Previously @TheNewsLens @RNW
3834136701,http://pbs.twimg.com/profile_images/705129209849618436/KenyCcMH_normal.jpg,Melissa Anderson,1melissanderson,,
